
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

	<CurrencyName> #tm_ruble												// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
		<Currency> MoneyRuble1, 	1										// Currency Classname, Currency Money Value
		<Currency> MoneyRuble5, 	5
		<Currency> MoneyRuble10, 	10
		<Currency> MoneyRuble25, 	25
		<Currency> MoneyRuble50, 	50
		<Currency> MoneyRuble100, 	100


<Trader> Consume Trader														// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables													// Category Name
		CaninaBerry,								*,		1,			-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,								*,		1,			-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,										*,		10,			-1	// Buyvalue -1 means it can not be bought
		Kiwi,										*,		10,			-1	// Sellvalue -1 means it can not be selled					  
		Apple,										*,		10,			-1
		Pear,										*,		10,			-1
		Orange,										*,		10,			-1
		Banana,										*,		10,			-1
		Tomato,										*,		10,			-1
		Potato,										*,		10,			-1
		GreenBellPepper,							*,		10,			-1
		Zucchini,									*,		30,			1
		Pumpkin,									*,		80,			3
		AgaricusMushroom,							*,		20,			1
		AmanitaMushroom,							*,		20,			1
		LactariusMushroom,							*,		20,			1
		MacrolepiotaMushroom,						*,		20,			1
		PsilocybeMushroom,							*,		20,			1
		AuriculariaMushroom,						*,		20,			1
		BoletusMushroom,							*,		20,			1
		PleurotusMushroom,							*,		20,			1
	
	<Category> Packaged Food
		PowderedMilk,								*,		10,			-1
		BoxCerealCrunchin,							*,		20,			10
		Rice,										*,		30,			10
		Marmalade,									*,		30,			10
		Honey,										*,		30,			10
		PeachesCan,									*,		40,			20
		SardinesCan,								*,		40,			20
		TunaCan,									*,		40,			20
		SpaghettiCan,								*,		50,			20
		BakedBeansCan,								*,		50,			20
		TacticalBaconCan,							*,		50,			30		
		
	<Category> Meat
		ChickenBreastMeat,							S,		20,			10
		GoatSteakMeat,								S,		30,			10
		SheepSteakMeat,								S,		30,			10
		PigSteakMeat,								S,		40,			20
		BoarSteakMeat,								S,		40,			20
		WolfSteakMeat,								S,		40,			20
		DeerSteakMeat,								S,		50,			20
		BearSteakMeat,								S,		250,		500
		CowSteakMeat,								S,		50,			20	
		Sardines,									S,		70,			40
		Carp,										S,		100,		50
		Mackerel,									S,		100,		50
		
	<Category> Animal Parts
		Bone,										*,		20,			1
		Lard,										*,		20,			1
		Guts,										*,		20,			1
		SmallGuts,									*,		20,			1
		
	<Category> Drinks	
		SodaCan_Cola, 								*,		20, 		10
		SodaCan_Kvass, 								*,		20, 		10
		SodaCan_Pipsi, 								*,		20, 		10
		SodaCan_Spite, 								*,		20, 		10
		SodaCan_Fronta, 							*,		20, 		10
		WaterBottle,								*,		50,			20
		Canteen,									*,		80,			40
		Vodka,										*,		120,		75
		BeerCan_DillyDilly,							*,		120,		75
		BeerCan_MillerLight,						*,		120,		75
		BeerCan_PBR,								*,		120,		75
		BeerCan_Coors,								*,		120,		75
		BeerCan_Michelob,							*,		120,		75
		BeerCan_Corona,								*,		120,		75
		BeerCan_Budweiser,	    					*,		120,		75
		BeerCan_MajorHemp,							*,		120,		75
		BeerCan_BuschLight,							*,		120,		75
		
	<Category> DH Drinks
		DH_CanteenRed,								*,	125,	50
		DHCanteen_Aqua,								*,	125,	50
		DHCanteen_Black,							*,	125,	50
		DHCanteen_BlueW,							*,	125,	50
		DHCanteen_MudOak,							*,	125,	50
		DHCanteen_Pink,								*,	125,	50
		DHCanteen_WhiteG,							*,	125,	50
		DHCanteen_Woodland,							*,	125,	50
		DHCanteen_Pat,								*,	125,	50
		DHCanteen_Pat1,								*,	125,	50
		DH_sodaAJam,								*,	125,	50
		DH_sodaGAJam,								*,	125,	50
		DH_sodaGMJam,								*,	125,	50
		DH_sodaPJam,								*,	125,	50
		DH_FoodCan,									*,	50,		25
		DH_HotDag,									*,	100,	45
		DH_BigMik,									*,	100,	45
		
	<Category> Medical Supplies
		//Rag,										1,		10,			-1
		BandageDressing,							2,		45,			10
		BloodTestKit,								*,		50,			20
		//InjectionVial,							*,		50, 		20
		Thermometer,								*,		50,			20
		DisinfectantSpray,							*,		80,			50
		IodineTincture,							*,		80,			50
		//Syringe,									*,		80, 		50
		Heatpack,									*,		100,		50
		StartKitIV,									*,		100,		60
		SalineBag,									*,		150,		80
		BloodBagEmpty,								*,		180,		100
		FirstAidKit,								*,		200,		100
		Syringe,									*,		10000,		500
		Zen_Virus_Cure_Petridish,					*,		10000,		500
		//Defibrillator,							*,		350, 		20
		
	<Category> Medications
		CharcoalTablets,							*,		20,			1
		DisinfectantAlcohol,						*,		40,			2
		VitaminBottle,								*,		60,			4
		TetracyclineAntibiotics,					*,		80,			5
		PainkillerTablets,							*,		100,		6
		Epinephrine,								*,		200,		10
		Morphine,									*,		250,		15

	<Category>Hunter Medical Items
		HM_Emebandage,								*,		500,			250
		HM_AI2,										*,		500,			250

	<Category> DH Medical	
		DH_Stim,									*,	-1,	5000
		DH_Super_Stim,								*,	-1,	5000
		DH_Extreme_Stim,							*,	-1,	5000
		DH_Unknown,									*,	-1,	5000

	<Category> Smoke Products
		DHD_Baccy_Tin,							*,	10000,	5000
		DHD_Stack_Baccy,						*,	10000,	5000
		DHD_BaccySeeds,							*,	10000,	5000
		DHD_SPack_Baccy,						*,	10000,	5000
		DH_Blunt,								*,	10000,	5000
		DH_Cigarette_Unlit,						*,	10000,	5000
		DH_CigBox,								*,	10000,	5000
		DHD_Baccy,								*,	10000,	5000
		DH_Drugs_Panel_OD,						*,	200,	95
		DH_Drugs_Panel_Black,					*,	200,	95
		DH_Drugs_Panel_Tan,						*,	200,	95
		DH_Drugs_Panel_ERDL,					*,	200,	95
		DH_Drugs_Panel_Snow,					*,	200,	95
		DH_Drugs_Panel_Multicam,				*,	200,	95
		DH_Drugs_Panel_Multicam_Tropic,			*,	200,	95
		DH_Drugs_Panel_Multicam_Black,			*,	200,	95
		DH_Papers_Red,							*,	100,	50
		DH_Papers_Green,						*,	100,	50
		DH_Papers_Silver,						*,	100,	50
		DH_Papers_Blue,							*,	100,	50

	<Category> DH Grow Products
		DH_ChemBench_Kit,						*,	10000,	1500
		DH_plasticbag_Kit,						*,	1000,	350
		DH_Fertilizer,							*,	2000,	475
		DHD_ProPowder,							*,	2000,	475
		DH_Watering_Can,						*,	1000,	350
		DH_Water_Drum,							*,	1000,	350
