original_builderitems_class,replacement_name,replacement_type,placements
Land_WindPowerPlant_Grey,DZ/structures_bliss/industrial/WindPowerPlant/WindPowerPlant_Grey.p3d,DayZ Editor-compatible direct structure model path,36
bldr_Dead_MassGrave_15m,StaticObj_Dead_MassGrave_15m,native static class; exact model match,1
bldr_Dead_pile1,StaticObj_Dead_pile1,native static class; exact model match,2
bldr_Dead_pile2,StaticObj_Dead_pile2,native static class; exact model match,3
bldr_Dead_pile3,StaticObj_Dead_pile3,native static class; exact model match,5
bldr_Dead_pile4,StaticObj_Dead_pile4,native static class; exact model match,7
bldr_Garbage_Bin,StaticObj_Garbage_Bin,native static class; exact model match,1
bldr_Garbage_Container,StaticObj_Garbage_Container,native static class; exact model match,1
bldr_Garbage_GroundSq_3m,StaticObj_Garbage_GroundSq_3m,native static class; exact model match,1
bldr_Garbage_Ground_6m,StaticObj_Garbage_Ground_6m,native static class; exact model match,1
bldr_Hotel_Damaged_Airplane_Back,StaticObj_Hotel_Damaged_Airplane_Back,native static class; exact model match,1
bldr_Hotel_Damaged_Airplane_Wing,StaticObj_Hotel_Damaged_Airplane_Wing,native static class; exact model match,1
bldr_Lamp_City1,StaticObj_Lamp_City1,native static class; exact model match,2
bldr_Misc_AdvertColumn,StaticObj_Misc_AdvertColumn,native static class; exact model match,1
bldr_Misc_BoxWooden,StaticObj_Misc_BoxWooden,native static class; exact model match,7
bldr_Misc_Chair_Camp2,StaticObj_Misc_Chair_Camp2,native static class; exact model match,2
bldr_Misc_RoadBarrier,StaticObj_Misc_RoadBarrier,native static class; exact model match,1
bldr_Misc_Tree_Pavement1,StaticObj_Misc_Tree_Pavement1,native static class; exact model match,2
bldr_Rubble_DirtPile_Large,StaticObj_Rubble_DirtPile_Large,native static class; exact model match,6
bldr_Rubble_Glass,StaticObj_Rubble_Glass,native static class; exact model match,3
bldr_Statue_General,StaticObj_Statue_General,native static class; exact model match,1
bldr_box_c,StaticObj_Furniture_box_c,native static class; exact model match,6
bldr_box_c_multi,StaticObj_Furniture_box_c_multi,native static class; exact model match,3
bldr_desk_globe,StaticObj_Furniture_Desk_Globe,native static class; exact model match,1
bldr_flag_chernarus_pole,StaticObj_Furniture_flag_chernarus_pole,native static class; exact model match,1
bldr_misc_antenna,StaticObj_Misc_Antenna,native static class; exact model match,3
bldr_misc_bagfence_round,StaticObj_Misc_BagFence_Round,native static class; exact model match,3
bldr_misc_barbedwire,StaticObj_Misc_Barbedwire,native static class; exact model match,23
bldr_misc_boardspack1,StaticObj_Misc_BoardsPack1,native static class; exact model match,2
bldr_misc_boardspack2,StaticObj_Misc_BoardsPack2,native static class; exact model match,1
bldr_misc_boardspack3,StaticObj_Misc_BoardsPack3,native static class; exact model match,3
bldr_misc_coil,StaticObj_Misc_Coil,native static class; exact model match,1
bldr_misc_concreteblock1,StaticObj_Misc_ConcreteBlock1,native static class; exact model match,2
bldr_misc_concreteblock1_end,StaticObj_Misc_ConcreteBlock1_End,native static class; exact model match,1
bldr_misc_concreteblock2,StaticObj_Misc_ConcreteBlock2,native static class; exact model match,2
bldr_misc_concreteblock2_damaged,StaticObj_Misc_ConcreteBlock2_Damaged,native static class; exact model match,5
bldr_misc_flagpole,StaticObj_Misc_Flagpole,native static class; exact model match,2
bldr_misc_haybale,StaticObj_Misc_HayBale,native static class; exact model match,6
bldr_misc_hedgehog_concrete,StaticObj_Misc_Hedgehog_Concrete,native static class; exact model match,9
bldr_misc_pallet,StaticObj_Misc_Pallet,native static class; exact model match,1
bldr_misc_pallets3,StaticObj_Misc_Pallets3,native static class; exact model match,3
bldr_misc_pipes,StaticObj_Misc_Pipes,native static class; exact model match,1
bldr_misc_razorwire,StaticObj_Misc_Razorwire,native static class; exact model match,1
bldr_misc_scaffolding,Land_Misc_Scaffolding,native static class; exact model match,1
bldr_misc_timbers2,StaticObj_Misc_Timbers2,native static class; exact model match,1
bldr_misc_timbers4,StaticObj_Misc_Timbers4,native static class; exact model match,1
bldr_misc_timbers_log1,StaticObj_Misc_Timbers_Log1,native static class; exact model match,2
bldr_misc_timbers_log2,StaticObj_Misc_Timbers_Log2,native static class; exact model match,1
bldr_misc_timbers_log3,StaticObj_Misc_Timbers_Log3,native static class; exact model match,1
bldr_misc_tirepile,StaticObj_Misc_TirePile,native static class; exact model match,1
bldr_office_chair,StaticObj_Furniture_office_chair,native static class; exact model match,1
bldr_office_table_a,StaticObj_Furniture_office_table_a,native static class; exact model match,1
bldr_plnt_b_FagusSylvatica_1f,DZ/plants/tree/b_fagussylvatica_1f.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_b_betulaHumilis_1s,DZ/plants/bush/b_betulahumilis_1s.p3d,DayZ Editor-compatible direct plant model path,20
bldr_plnt_b_corylusAvellana_1f,DZ/plants/bush/b_corylusavellana_1f.p3d,DayZ Editor-compatible direct plant model path,12
bldr_plnt_b_corylusAvellana_2s,DZ/plants/bush/b_corylusavellana_2s.p3d,DayZ Editor-compatible direct plant model path,19
bldr_plnt_b_crataegusLaevigata_1s,DZ/plants/bush/b_crataeguslaevigata_1s.p3d,DayZ Editor-compatible direct plant model path,13
bldr_plnt_b_crataegusLaevigata_2s,DZ/plants/bush/b_crataeguslaevigata_2s.p3d,DayZ Editor-compatible direct plant model path,9
bldr_plnt_b_prunusSpinosa_1s,DZ/plants/bush/b_prunusspinosa_1s.p3d,DayZ Editor-compatible direct plant model path,8
bldr_plnt_b_prunusSpinosa_2s,DZ/plants/bush/b_prunusspinosa_2s.p3d,DayZ Editor-compatible direct plant model path,18
bldr_plnt_b_rosaCanina_1s,DZ/plants/bush/b_rosacanina_1s.p3d,DayZ Editor-compatible direct plant model path,11
bldr_plnt_b_rosaCanina_2s,DZ/plants/bush/b_rosacanina_2s.p3d,DayZ Editor-compatible direct plant model path,7
bldr_plnt_b_sambucusNigra_1s,DZ/plants/bush/b_sambucusnigra_1s.p3d,DayZ Editor-compatible direct plant model path,8
bldr_plnt_b_sambucusNigra_2s,DZ/plants/bush/b_sambucusnigra_2s.p3d,DayZ Editor-compatible direct plant model path,11
bldr_plnt_c_Anthoxanthum,DZ/plants/clutter/c_anthoxanthum.p3d,DayZ Editor-compatible direct plant model path,8
bldr_plnt_c_Anthoxanthum_bended,DZ/plants/clutter/c_anthoxanthum_bended.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_c_Broadleaf_sprouts,DZ/plants/clutter/c_broadleaf_sprouts.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_c_Carduus,DZ/plants/clutter/c_carduus.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_c_ConcreteGrass_bunch,DZ/plants/clutter/c_concretegrass_bunch.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_c_Elytrigia,DZ/plants/clutter/c_elytrigia.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_c_ElytrigiaDirt,DZ/plants/clutter/c_elytrigiadirt.p3d,DayZ Editor-compatible direct plant model path,380
bldr_plnt_c_ElytrigiaForest,DZ/plants/clutter/c_elytrigiaforest.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_c_ElytrigiaTall,DZ/plants/clutter/c_elytrigiatall.p3d,DayZ Editor-compatible direct plant model path,615
bldr_plnt_c_Elytrigia_green,DZ/plants/clutter/c_elytrigia_green.p3d,DayZ Editor-compatible direct plant model path,4347
bldr_plnt_c_GrassDryCarduus_f_summer,DZ/plants_bliss/clutter/c_GrassDryCarduus_f_summer.p3d,DayZ Editor-compatible direct plant model path,15
bldr_plnt_c_GrassDryHypericum_summer,DZ/plants_bliss/clutter/c_GrassDryHypericum_summer.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_c_GrassDry_summer,DZ/plants_bliss/clutter/c_GrassDry_summer.p3d,DayZ Editor-compatible direct plant model path,1058
bldr_plnt_ivy_A,DZ/plants_bliss/building/ivy_A.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_ivy_B,DZ/plants_bliss/building/ivy_B.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_ivy_C,DZ/plants_bliss/building/ivy_C.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_ivy_D,DZ/plants_bliss/building/ivy_D.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_ivy_F,DZ/plants_bliss/building/ivy_F.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_ivy_G,DZ/plants_bliss/building/ivy_G.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_ivy_K,DZ/plants_bliss/building/ivy_K.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_ivy_M,DZ/plants_bliss/building/ivy_M.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_ivy_T,DZ/plants_bliss/building/ivy_T.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_BetulaPendula_1fb,DZ/plants/tree/t_betulapendula_1fb.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_t_BetulaPendula_1s,DZ/plants/tree/t_betulapendula_1s.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_BetulaPendula_2f,DZ/plants/tree/t_betulapendula_2f.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_BetulaPendula_2fb,DZ/plants/tree/t_betulapendula_2fb.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_BetulaPendula_2s,DZ/plants/tree/t_betulapendula_2s.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_t_BetulaPendula_2w,DZ/plants/tree/t_betulapendula_2w.p3d,DayZ Editor-compatible direct plant model path,6
bldr_plnt_t_BetulaPendula_3f,DZ/plants/tree/t_betulapendula_3f.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_BetulaPendula_3fb,DZ/plants/tree/t_betulapendula_3fb.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_BetulaPendula_3fc,DZ/plants/tree/t_betulapendula_3fc.p3d,DayZ Editor-compatible direct plant model path,9
bldr_plnt_t_BetulaPendula_3s,DZ/plants/tree/t_betulapendula_3s.p3d,DayZ Editor-compatible direct plant model path,7
bldr_plnt_t_FagusSylvatica_1f,DZ/plants/tree/t_fagussylvatica_1f.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_t_FagusSylvatica_1fc,DZ/plants/tree/t_fagussylvatica_1fc.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_t_FagusSylvatica_1fd,DZ/plants/tree/t_fagussylvatica_1fd.p3d,DayZ Editor-compatible direct plant model path,5
bldr_plnt_t_FagusSylvatica_1fe,DZ/plants/tree/t_fagussylvatica_1fe.p3d,DayZ Editor-compatible direct plant model path,4
bldr_plnt_t_FagusSylvatica_1s,DZ/plants/tree/t_fagussylvatica_1s.p3d,DayZ Editor-compatible direct plant model path,7
bldr_plnt_t_FagusSylvatica_2d,DZ/plants/tree/t_fagussylvatica_2d.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_t_FagusSylvatica_2f,DZ/plants/tree/t_fagussylvatica_2f.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_FagusSylvatica_2f_cut,DZ/plants/tree/cutted_cut/t_fagussylvatica_2f_cut.p3d,DayZ Editor-compatible direct plant model path,2
bldr_plnt_t_FagusSylvatica_2fb,DZ/plants/tree/t_fagussylvatica_2fb.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_FagusSylvatica_2fc,DZ/plants/tree/t_fagussylvatica_2fc.p3d,DayZ Editor-compatible direct plant model path,3
bldr_plnt_t_FagusSylvatica_2s,DZ/plants/tree/t_fagussylvatica_2s.p3d,DayZ Editor-compatible direct plant model path,23
bldr_plnt_t_FagusSylvatica_2sb,DZ/plants/tree/t_fagussylvatica_2sb.p3d,DayZ Editor-compatible direct plant model path,12
bldr_plnt_t_FagusSylvatica_2sb_Trail_G,DZ/plants/tree/t_fagussylvatica_2sb_trail_g.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_FagusSylvatica_2sb_Trail_G_summer,DZ/plants_bliss/tree/t_FagusSylvatica_2sb_Trail_G_summer.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_FagusSylvatica_2sb_Trail_R,DZ/plants/tree/t_fagussylvatica_2sb_trail_r.p3d,DayZ Editor-compatible direct plant model path,1
bldr_plnt_t_FagusSylvatica_2sb_Trail_Y,DZ/plants/tree/t_fagussylvatica_2sb_trail_y.p3d,DayZ Editor-compatible direct plant model path,5
bldr_plnt_t_FagusSylvatica_3f,DZ/plants/tree/t_fagussylvatica_3f.p3d,DayZ Editor-compatible direct plant model path,1
