original_class,placements,builderitems_source,base_class,model,disposition,output_name
Land_Lamp_City1_amp,1,,,,retained native DayZ class,Land_Lamp_City1_amp
Land_Mil_Tent_Big1_1,1,,,,retained native DayZ class,Land_Mil_Tent_Big1_1
Land_Power_Pole_Conc4_Lamp_Amp,1,,,,retained native DayZ class,Land_Power_Pole_Conc4_Lamp_Amp
Land_Roadblock_Table,5,,,,retained native DayZ class,Land_Roadblock_Table
Land_Train_742_Blue,2,,,,retained native DayZ class,Land_Train_742_Blue
Land_Train_742_Red,2,,,,retained native DayZ class,Land_Train_742_Red
Land_Train_Wagon_Box,9,,,,retained native DayZ class,Land_Train_Wagon_Box
Land_WindPowerPlant_Grey,36,,,,DayZ Editor-compatible direct structure model path,DZ/structures_bliss/industrial/WindPowerPlant/WindPowerPlant_Grey.p3d
Land_Wreck_Harverster,1,,,,retained native DayZ class,Land_Wreck_Harverster
Land_Wreck_Harvester_head_trailer,1,,,,retained native DayZ class,Land_Wreck_Harvester_head_trailer
Land_Wreck_Ikarus,6,,,,retained native DayZ class,Land_Wreck_Ikarus
Land_Wreck_Lada_Green,15,,,,retained native DayZ class,Land_Wreck_Lada_Green
Land_Wreck_Lada_Red,15,,,,retained native DayZ class,Land_Wreck_Lada_Red
Land_Wreck_S1023_Beige,8,,,,retained native DayZ class,Land_Wreck_S1023_Beige
Land_Wreck_S1023_Blue,11,,,,retained native DayZ class,Land_Wreck_S1023_Blue
Land_Wreck_Uaz,17,,,,retained native DayZ class,Land_Wreck_Uaz
Land_Wreck_V3S,13,,,,retained native DayZ class,Land_Wreck_V3S
Land_Wreck_Volha_Blue,12,,,,retained native DayZ class,Land_Wreck_Volha_Blue
Land_Wreck_Volha_Grey,13,,,,retained native DayZ class,Land_Wreck_Volha_Grey
Land_Wreck_sed01_aban2_wine,1,,,,retained native DayZ class,Land_Wreck_sed01_aban2_wine
Land_Wreck_sed02_aban2_red,1,,,,retained native DayZ class,Land_Wreck_sed02_aban2_red
bldr_Dead_MassGrave_15m,1,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\deadbodies\dead_massgrave_15m.p3d,native static class; exact model match,StaticObj_Dead_MassGrave_15m
bldr_Dead_pile1,2,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\deadbodies\dead_pile1.p3d,native static class; exact model match,StaticObj_Dead_pile1
bldr_Dead_pile2,3,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\deadbodies\dead_pile2.p3d,native static class; exact model match,StaticObj_Dead_pile2
bldr_Dead_pile3,5,specific/config.cpp,HouseNoDestruct,\DZ\structures\specific\deadbodies\dead_pile3.p3d,native static class; exact model match,StaticObj_Dead_pile3
